"","x"
"1","54b43248e138239d86849eb0"
"2","54b43249e138239d8684a1d6"
"3","54b4324be138239d8684a636"
"4","54b4324ee138239d8684aefa"
"5","54b43250e138239d8684b26f"
"6","54b43266e138239d8684f0b3"
"7","54b43266e138239d8684f1fd"
"8","54b43266e138239d8684f23e"
"9","54b43267e138239d8684f409"
"10","54b43277e138239d86851ff6"
"11","54b43279e138239d868524dc"
"12","54b43279e138239d868526c6"
"13","54b4327ae138239d86852902"
"14","54b4327be138239d86852c03"
"15","54b4327ce138239d86852e8c"
"16","54b4328ee138239d86855eec"
"17","54cc68d8e138236bcc929ff1"
"18","54cd3e08e138236bcc92a36c"
"19","54cd7d0fe138236bcc92a483"
"20","54cd96bfe138236bcc92a4da"
"21","54ced705e138236bcc92aa12"
"22","54e3e5bee138237cc914fab9"
"23","54e3e902e138237cc914facd"
"24","54e53788e138237cc915004f"
"25","54ea7558e138237cc9151632"
"26","54fd423be138239936c6e19a"
"27","55052064e1382326932d8bce"
"28","550578e8e1382326932d8d3a"
"29","55068ba0e1382326932d91b2"
"30","5506bbd2e1382326932d928b"
"31","55071018e1382326932d93f5"
"32","55073f16e1382326932d94a3"
"33","55075de2e1382326932d9538"
"34","55076bcee1382326932d9560"
"35","55077b64e1382326932d95ab"
"36","55193dd9e1382394b500df01"
"37","55774781e138234790a015c4"
"38","55bbc758e1382373b63b8eba"
"39","55c8666acf58f1a8110ba4e6"
"40","55c8ff87cf58f1a8110ba771"
"41","55d0f741cf58f1b3b25e3501"
"42","55f42c97cf58f16256a222db"
"43","55f42deecf58f16256a222e5"
"44","5640229ccf58f18954975292"
"45","56743ec9cf58f122156070fb"
"46","567492c4cf58f12215607572"
"47","568ee0d4cf58f11e8bd69762"
"48","568eea27cf58f11e8bd69806"
"49","568ef46bcf58f11e8bd698ba"
"50","56ba6dbacf58f18714edf379"
"51","56ba954ecf58f18714edf45c"
"52","56c1413dcf58f15c72c8fc21"
"53","56f52aa4cf58f192cccc8de1"
"54","56f81fafcf58f1261255d8c5"
"55","56f8f2a7cf58f16fca2ddb52"
"56","56f90a5ecf58f177a501f62d"
"57","56fb8659cf58f19d590a95bf"
"58","570695c4cf58f16ae181495f"
"59","572b6bf5642f8891ed4522d2"
"60","573030c4cf58f150abca16fe"
"61","574aa9bccf58f12e61154400"
"62","575db265cf58f10504637045"
"63","577ef543cf58f1ab4c4ab525"
"64","5790fe6bcf58f15c1c98ad67"
"65","5791dabecf58f1aa2b5a0a0b"
"66","5792688ecf58f12668028eef"
"67","57d0246ecf58f14de6d3e705"
"68","57d7997ecf58f19fc36de407"
"69","57d8367ccf58f11a2623fc4f"
"70","57e6454bcf58f17e5ec0644f"
"71","57f58927cf58f17fab9a5db6"
"72","57ff9942cf58f1164ccca4bb"
"73","5804c1f8cf58f15c39fc6017"
"74","580aaadfcf58f1bdea6f5438"
"75","58789e1fcf58f1ba1f4f82f3"
"76","58bb8d4ccf58f18d3c4a6e15"
"77","58bcd7d4cf58f155c047f508"
"78","58e79b7bcf58f1ae56832b19"
"79","595a5702cf58f17497a440ff"
"80","5a2a9b13cf58f1766a89f254"
"81","5a2d5327cf58f1bc58a96669"
"82","5a3a34ebcf58f14a75a2157d"
